"","site","collection_date","YYYYMMDD","quadrat","plant","rhi_length","node1","node2","node3","node4","node5","leaf_length1","leaf_length2","leaf_length3","leaf_length4","leaf_length5","leaf_length6","leaf_length7","leaf_length8","leaf_length9","leaf_length10","leaf_width1","leaf_width2","leaf_width3","leaf_width4","leaf_width5","leaf_width6","leaf_width7","leaf_width8","leaf_width9","leaf_width10","rhi_mass_fw","shoot_mass_fw","xs_shoot_mass_fw","iso_count","iso_fw","gamm_amph_count","gamm_amph_fw","caprel_count","caprel_fw","limpet_count","limpet_fw","gastropod_count","gastropod_fw","crab_count","crab_fw","polychaete_count","other_animal_notes","notes","epiphyte_mass_dw","rhi_mass_dw","shoot_mass_dw","xs_shoot_mass_dw","xs_pad_mass_dw","iso_mass_dw","gamm_amph_mass_dw","caprel_mass_dw","limpet_mass_dw","gastropod_mass_dw","crab_mass_dw","leaf_area1","na.rm","leaf_area2","leaf_area3","leaf_area4","leaf_area5","leaf_area6","leaf_area7","leaf_area8","leaf_area9","leaf_area10","tot_leaf_area","mean_canopy_height"
"188","2017_H_06","24/7/17",20170724,"6","3",5,0.7,1.5,1.2,1.3,NA,106,133.2,48,104.9,27,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.6,0.5,NA,NA,NA,NA,NA,0.8144,4.332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.0276999999999999,0.0916,0.5855,NA,NA,NA,NA,NA,NA,NA,NA,53,TRUE,66.6,24,62.94,13.5,NA,NA,NA,NA,NA,220.04,83.82
"189","2017_H_06","24/7/17",20170724,"6","4",5,1.4,1.4,1.1,NA,NA,55.4,77,20,81.1,101.7,45.9,NA,NA,NA,NA,0.5,0.5,0.3,0.5,0.6,0.5,NA,NA,NA,NA,0.6948,3.3631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.029,0.0790999999999999,0.4482,NA,NA,NA,NA,NA,NA,NA,NA,27.7,TRUE,38.5,6,40.55,61.02,22.95,NA,NA,NA,NA,196.72,63.5166666666667
"190","2017_H_06","24/7/17",20170724,"6","5",5,0.6,1.4,1.1,1.2,NA,30.2,84.1,8.4,47.5,80.8,NA,NA,NA,NA,NA,0.4,0.5,0.4,0.5,0.5,NA,NA,NA,NA,NA,0.5554,2.0794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.0235,0.0679,1.2854,NA,NA,NA,NA,NA,NA,NA,NA,12.08,TRUE,42.05,3.36,23.75,40.4,NA,NA,NA,NA,NA,121.64,50.2
"191","2017_H_06","24/7/17",20170724,"7","1",5,2.5,2.5,NA,NA,NA,11.1,106.1,83,98.4,56,104.8,NA,NA,NA,NA,0.6,0.6,0.6,0.6,0.6,0.6,NA,NA,NA,NA,0.9173,5.3663,8.984,2,0.0053,NA,NA,NA,NA,1,0.0383,NA,"",NA,NA,13,"","",0.0243,0.1092,0.7842,0.9573,NA,0.000800000000000023,NA,NA,0.0154000000000001,NA,NA,6.66,TRUE,63.66,49.8,59.04,33.6,62.88,NA,NA,NA,NA,275.64,76.5666666666667
"192","2017_H_06","24/7/17",20170724,"7","2",5,1.3,1.9,1.4,NA,NA,69.5,91.1,125,13.5,74.6,104.2,NA,NA,NA,NA,0.6,0.6,0.6,0.6,0.6,0.6,NA,NA,NA,NA,0.8614,5.591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.0246,0.104,0.7918,NA,NA,NA,NA,NA,NA,NA,NA,41.7,TRUE,54.66,75,8.1,44.76,62.52,NA,NA,NA,NA,286.74,79.65
"193","2017_H_06","24/7/17",20170724,"7","3",5,0.8,1.4,1.7,0.7,NA,33.2,72,76.6,73.2,30.6,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,0.4424,2.0614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.02,0.0498000000000001,0.2655,NA,NA,NA,NA,NA,NA,NA,NA,13.28,TRUE,28.8,30.64,29.28,12.24,NA,NA,NA,NA,NA,114.24,57.12
"194","2017_H_06","24/7/17",20170724,"7","4",5,1.8,2.2,NA,NA,NA,80.7,93.2,110.9,33,84,NA,NA,NA,NA,NA,0.6,0.6,0.6,0.5,0.6,NA,NA,NA,NA,NA,0.5966,4.1226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.0433,0.0749000000000001,0.5798,NA,NA,NA,NA,NA,NA,NA,NA,48.42,TRUE,55.92,66.54,16.5,50.4,NA,NA,NA,NA,NA,237.78,80.36
"195","2017_H_06","24/7/17",20170724,"7","5",5,1.5,1.7,1.3,NA,NA,13.6,123.6,82,126,86.1,NA,NA,NA,NA,NA,0.4,0.5,0.5,0.5,0.5,NA,NA,NA,NA,NA,0.5582,4.6026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.046,0.0800000000000001,0.655,NA,NA,NA,NA,NA,NA,NA,NA,5.44,TRUE,61.8,41,63,43.05,NA,NA,NA,NA,NA,214.29,86.26
"196","2017_H_06","24/7/17",20170724,"8","1",5,1.2,1.6,1.3,NA,NA,67.1,49,51.4,86,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.5,NA,NA,NA,NA,NA,NA,0.5876,2.5885,30.9877,NA,NA,2,0.003,NA,NA,2,0.1527,NA,"",NA,NA,12,"1 clam","",0.0288,0.0784,0.3413,3.0686,NA,NA,9.9999999999989e-05,NA,0.0403,NA,NA,33.55,TRUE,24.5,25.7,43,NA,NA,NA,NA,NA,NA,126.75,63.375
"197","2017_H_06","24/7/17",20170724,"8","2",5,1.3,1.3,1.7,NA,NA,79.5,100.7,61.5,67.1,9.7,87,NA,NA,NA,NA,0.6,0.5,0.5,0.5,0.4,0.5,NA,NA,NA,NA,0.6938,4.047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.0391,0.1017,0.5577,NA,NA,NA,NA,NA,NA,NA,NA,47.7,TRUE,50.35,30.75,33.55,3.88,43.5,NA,NA,NA,NA,209.73,67.5833333333333
"198","2017_H_06","24/7/17",20170724,"8","3",5,1.4,2,1.2,NA,NA,95.9,75.4,105.4,60.1,43.9,7.5,NA,NA,NA,NA,0.6,0.5,0.6,0.5,0.5,0.4,NA,NA,NA,NA,0.5642,3.3626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.0306,0.0778000000000001,0.4905,NA,NA,NA,NA,NA,NA,NA,NA,57.54,TRUE,37.7,63.24,30.05,21.95,3,NA,NA,NA,NA,213.48,64.7
"199","2017_H_06","24/7/17",20170724,"8","4",5,2.7,NA,NA,NA,NA,102.5,23.1,105,70.9,81,NA,NA,NA,NA,NA,0.6,0.6,0.6,0.6,0.6,NA,NA,NA,NA,NA,0.5473,4.6069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.0277000000000001,0.0709000000000001,0.7075,NA,NA,NA,NA,NA,NA,NA,NA,61.5,TRUE,13.86,63,42.54,48.6,NA,NA,NA,NA,NA,229.5,76.5
"200","2017_H_06","24/7/17",20170724,"8","5",5,2.1,2.5,NA,NA,NA,92.2,97,73.5,25,107,NA,NA,NA,NA,NA,0.6,0.6,0.6,0.6,0.6,NA,NA,NA,NA,NA,0.7652,4.4634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.0434,0.1038,0.6339,NA,NA,NA,NA,NA,NA,NA,NA,55.32,TRUE,58.2,44.1,15,64.2,NA,NA,NA,NA,NA,236.82,78.94
"201","2017_H_07","20/8/17",20170820,"1","1",4.6,1.5,1.7,NA,NA,NA,54.8,58,18.9,54.4,57.8,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.5,0.5,NA,NA,NA,NA,NA,0.5144,2.1559,12.3878,8,0.1856,NA,NA,8,0.0275,NA,NA,17,"0.0866",NA,NA,NA,"","",0.0179,0.0761,0.3977,1.6701,NA,0.0483,NA,0.000699999999999978,NA,0.0446,NA,27.4,TRUE,29,9.45,27.2,28.9,NA,NA,NA,NA,NA,121.95,48.78
"202","2017_H_07","20/8/17",20170820,"1","2",5,0.3,1.5,1.2,0.8,0.7,47.4,42.4,55.8,56.4,NA,NA,NA,NA,NA,NA,0.5,0.4,0.5,0.5,NA,NA,NA,NA,NA,NA,0.4955,1.8378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.0168,0.0801000000000001,0.325,NA,NA,NA,NA,NA,NA,NA,NA,23.7,TRUE,16.96,27.9,28.2,NA,NA,NA,NA,NA,NA,96.76,50.5
"203","2017_H_07","20/8/17",20170820,"1","3",5,1.3,1.2,1.3,NA,NA,36.9,37.2,25.4,44.4,NA,NA,NA,NA,NA,NA,0.5,0.4,0.5,0.5,NA,NA,NA,NA,NA,NA,0.7189,1.1637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.00880000000000003,0.1221,0.2118,NA,NA,NA,NA,NA,NA,NA,NA,18.45,TRUE,14.88,12.7,22.2,NA,NA,NA,NA,NA,NA,68.23,35.975
"204","2017_H_07","20/8/17",20170820,"1","4",5,1,2.2,NA,NA,NA,51.6,55,58.1,50.2,NA,NA,NA,NA,NA,NA,0.5,0.5,0.6,0.6,NA,NA,NA,NA,NA,NA,0.5516,2.495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.0141,0.0770999999999999,0.4098,NA,NA,NA,NA,NA,NA,NA,NA,25.8,TRUE,27.5,34.86,30.12,NA,NA,NA,NA,NA,NA,118.28,53.725
"205","2017_H_07","20/8/17",20170820,"1","5",5,1.6,2.1,NA,NA,NA,54.8,23.7,66.8,60.4,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.6,NA,NA,NA,NA,NA,NA,0.5708,2.6695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.0198,0.0807000000000001,0.4738,NA,NA,NA,NA,NA,NA,NA,NA,27.4,TRUE,11.85,33.4,36.24,NA,NA,NA,NA,NA,NA,108.89,51.425
"206","2017_H_07","20/8/17",20170820,"2","1",5,0.8,1.2,1.3,0.7,0.7,49.4,58.8,47.8,45.6,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.5,NA,NA,NA,NA,NA,NA,0.7578,1.9445,5.8271,1,0.0145,NA,NA,1,0.0026,NA,NA,5,"0.0260",NA,NA,4,"","",0.0176000000000001,0.1256,0.333,0.687,NA,0.00190000000000001,NA,0.000300000000000022,NA,0.00459999999999999,NA,24.7,TRUE,29.4,23.9,22.8,NA,NA,NA,NA,NA,NA,100.8,50.4
"207","2017_H_07","20/8/17",20170820,"2","2",5,0.9,1,1,1,NA,58.8,53.6,45.4,43.2,NA,NA,NA,NA,NA,NA,0.5,0.5,0.4,0.5,NA,NA,NA,NA,NA,NA,0.5679,1.6961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.0143,0.0961,0.2711,NA,NA,NA,NA,NA,NA,NA,NA,29.4,TRUE,26.8,18.16,21.6,NA,NA,NA,NA,NA,NA,95.96,50.25
"208","2017_H_07","20/8/17",20170820,"2","3",5,0.3,0.6,0.6,0.6,0.9,53.2,36.6,32.6,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,0.5826,0.9407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.0113,0.0850000000000001,0.1619,NA,NA,NA,NA,NA,NA,NA,NA,21.28,TRUE,14.64,13.04,NA,NA,NA,NA,NA,NA,NA,48.96,40.8
"209","2017_H_07","20/8/17",20170820,"2","4",2.3,0.7,1,0.7,NA,NA,60.2,30.1,49.6,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,0.2531,1.1707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.0111,0.0392,0.2013,NA,NA,NA,NA,NA,NA,NA,NA,24.08,TRUE,12.04,19.84,NA,NA,NA,NA,NA,NA,NA,55.96,46.6333333333333
"210","2017_H_07","20/8/17",20170820,"2","5",5,1,0.9,1.1,1.2,NA,57.4,52.4,50.4,17.8,NA,NA,NA,NA,NA,NA,0.4,0.5,0.5,0.5,NA,NA,NA,NA,NA,NA,0.7965,1.5383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.0141,0.1082,0.2716,NA,NA,NA,NA,NA,NA,NA,NA,22.96,TRUE,26.2,25.2,8.9,NA,NA,NA,NA,NA,NA,83.26,44.5
"211","2017_H_07","20/8/17",20170820,"3","1",4.7,0.5,1.1,0.9,1.3,NA,63.6,63.4,35.6,55.9,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,0.7995,1.5503,16.3351,20,0.5731,1,0.0016,5,0.0047,NA,NA,3,"0.0855",NA,NA,2,"19 mysid","",0.00439999999999996,0.1192,0.2955,1.9821,NA,0.1026,0.000299999999999967,0.000299999999999967,NA,0.0447,NA,25.44,TRUE,25.36,14.24,22.36,NA,NA,NA,NA,NA,NA,87.4,54.625
"212","2017_H_07","20/8/17",20170820,"3","2",5,0.3,0.5,0.7,0.9,0.9,75.9,49.8,90.4,69.6,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.5,NA,NA,NA,NA,NA,NA,0.7505,2.5289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.00880000000000003,0.1186,0.4078,NA,NA,NA,NA,NA,NA,NA,NA,37.95,TRUE,24.9,45.2,34.8,NA,NA,NA,NA,NA,NA,142.85,71.425
"213","2017_H_07","20/8/17",20170820,"3","3",5,0.9,1.9,0.7,0.8,0.9,86.6,34.4,68.9,92.8,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.5,NA,NA,NA,NA,NA,NA,0.8633,2.6886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.00839999999999996,0.1396,0.4614,NA,NA,NA,NA,NA,NA,NA,NA,43.3,TRUE,17.2,34.45,46.4,NA,NA,NA,NA,NA,NA,141.35,70.675
"214","2017_H_07","20/8/17",20170820,"3","4",5,0.5,1.7,0.5,0.7,0.7,71.4,41.4,74.9,66.1,25.2,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.5,0.4,NA,NA,NA,NA,NA,0.6521,2.5759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.00789999999999991,0.1124,0.3953,NA,NA,NA,NA,NA,NA,NA,NA,35.7,TRUE,20.7,37.45,33.05,10.08,NA,NA,NA,NA,NA,136.98,55.8
"215","2017_H_07","20/8/17",20170820,"3","5",3.5,0.9,1.2,NA,NA,NA,100.4,13.9,70.4,84.5,69.4,NA,NA,NA,NA,NA,0.6,0.5,0.5,0.5,0.5,NA,NA,NA,NA,NA,0.4508,3.3915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.00829999999999997,0.0747,0.5638,NA,NA,NA,NA,NA,NA,NA,NA,60.24,TRUE,6.95,35.2,42.25,34.7,NA,NA,NA,NA,NA,179.34,67.72
"216","2017_H_07","20/8/17",20170820,"4","1",4,0.7,1.1,0.9,0.6,NA,85,75.2,77.4,49,NA,NA,NA,NA,NA,NA,0.6,0.6,0.6,0.6,NA,NA,NA,NA,NA,NA,0.8567,3.6391,1.5714,11,0.0349,2,0.0043,3,0.0035,NA,NA,3,"0.0328",NA,NA,5,"1 barnacle","",0.0103000000000001,0.1157,0.581,1.3436,NA,0.00329999999999997,0.000199999999999978,0,NA,0.0139,NA,51,TRUE,45.12,46.44,29.4,NA,NA,NA,NA,NA,NA,171.96,71.65
"217","2017_H_07","20/8/17",20170820,"4","2",3.1,0.7,0.7,0.7,0.7,NA,82.2,104.1,12.7,88,57.6,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,0.3877,2.5427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.01,0.0536,0.439,NA,NA,NA,NA,NA,NA,NA,NA,32.88,TRUE,41.64,5.08,35.2,23.04,NA,NA,NA,NA,NA,137.84,68.92
"218","2017_H_07","20/8/17",20170820,"4","3",4.5,0.6,0.7,0.6,0.5,0.6,82.1,30,51.3,85.2,97.6,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,0.7991,2.9854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.0135999999999999,0.1331,0.5375,NA,NA,NA,NA,NA,NA,NA,NA,32.84,TRUE,12,20.52,34.08,39.04,NA,NA,NA,NA,NA,138.48,69.24
"219","2017_H_07","20/8/17",20170820,"4","4",5,1,1,1,0.8,1,55.1,71.6,71.1,65.4,NA,NA,NA,NA,NA,NA,0.6,0.6,0.6,0.6,NA,NA,NA,NA,NA,NA,0.8325,3.1527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.0125000000000001,0.1325,0.5276,NA,NA,NA,NA,NA,NA,NA,NA,33.06,TRUE,42.96,42.66,39.24,NA,NA,NA,NA,NA,NA,157.92,65.8
"220","2017_H_07","20/8/17",20170820,"4","5",5,1,1.2,1.2,1,NA,97.4,91.2,86.6,68,6.5,NA,NA,NA,NA,NA,0.6,0.5,0.5,0.5,0.2,NA,NA,NA,NA,NA,0.8041,3.4783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.0106000000000001,0.122,0.6177,NA,NA,NA,NA,NA,NA,NA,NA,58.44,TRUE,45.6,43.3,34,1.3,NA,NA,NA,NA,NA,182.64,69.94
"221","2017_H_07","20/8/17",20170820,"5","1",3.1,0.6,0.7,0.6,0.6,NA,34.4,71.8,40.4,47.2,80.6,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,0.4473,2.0211,7.5636,5,0.0124,1,0.0017,3,0.0114,NA,NA,1,"0.0022",NA,NA,6,"","",0.0091,0.0701000000000001,0.3157,0.96,NA,0.00160000000000005,0,0.000400000000000011,NA,5e-04,NA,13.76,TRUE,28.72,16.16,18.88,32.24,NA,NA,NA,NA,NA,109.76,54.88
"222","2017_H_07","20/8/17",20170820,"5","2",5,1.1,1.1,1,0.7,0.7,43.6,53.8,24.2,61.4,53.6,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.6,0.6,NA,NA,NA,NA,NA,0.8305,2.4242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.0128,0.1281,0.4026,NA,NA,NA,NA,NA,NA,NA,NA,21.8,TRUE,26.9,12.1,36.84,32.16,NA,NA,NA,NA,NA,129.8,47.32
"223","2017_H_07","20/8/17",20170820,"5","3",5,0.7,0.7,1,1,0.7,31,22.8,56.1,59.1,53,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.6,0.6,NA,NA,NA,NA,NA,1.0993,2.5485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.0101,0.1599,0.3874,NA,NA,NA,NA,NA,NA,NA,NA,15.5,TRUE,11.4,28.05,35.46,31.8,NA,NA,NA,NA,NA,122.21,44.4
"224","2017_H_07","20/8/17",20170820,"5","4",5,1.9,1.5,1.6,NA,NA,90.4,82.2,103.6,21.1,81.4,NA,NA,NA,NA,NA,0.6,0.6,0.6,0.6,0.6,NA,NA,NA,NA,NA,1.0959,5.201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.0126000000000001,0.1651,0.7915,NA,NA,NA,NA,NA,NA,NA,NA,54.24,TRUE,49.32,62.16,12.66,48.84,NA,NA,NA,NA,NA,227.22,75.74
"225","2017_H_07","20/8/17",20170820,"5","5",4.2,0.6,0.8,1,0.8,0.8,52.2,38.8,64.2,24.7,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.5,NA,NA,NA,NA,NA,NA,0.6753,1.6055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.00649999999999995,0.096,0.2253,NA,NA,NA,NA,NA,NA,NA,NA,26.1,TRUE,19.4,32.1,12.35,NA,NA,NA,NA,NA,NA,89.95,44.975
"226","2017_H_07","20/8/17",20170820,"6","1",5,2,2,NA,NA,NA,57.4,53.2,36.6,40.8,61.4,NA,NA,NA,NA,NA,0.6,0.6,0.6,0.6,0.6,NA,NA,NA,NA,NA,0.778,3.0979,0.9342,11,0.017,2,0.0011,6,0.0085,1,0.0739,7,"0.0370",NA,NA,13,"1 clam","",0.0132,0.1139,0.4975,0.1333,NA,0.00109999999999999,0,5e-04,0.023,0.0144,NA,34.44,TRUE,31.92,21.96,24.48,36.84,NA,NA,NA,NA,NA,149.64,49.88
"227","2017_H_07","20/8/17",20170820,"6","2",5,1.7,1.5,1.6,NA,NA,6,34.8,33.1,49.3,39.6,14.9,32.6,41.6,NA,NA,0.6,0.3,0.6,0.6,0.6,0.3,0.6,0.6,NA,NA,0.7718,2.8878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.0127,0.117,0.4302,NA,NA,NA,NA,NA,NA,NA,NA,3.6,TRUE,10.44,19.86,29.58,23.76,4.47,19.56,24.96,NA,NA,136.23,31.4875
"228","2017_H_07","20/8/17",20170820,"6","3",5,1.5,1.3,1.3,NA,NA,42.4,47,27.9,40.6,42.7,NA,NA,NA,NA,NA,0.6,0.6,0.6,0.5,0.5,NA,NA,NA,NA,NA,0.7223,2.0705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.00719999999999998,0.1045,0.3484,NA,NA,NA,NA,NA,NA,NA,NA,25.44,TRUE,28.2,16.74,20.3,21.35,NA,NA,NA,NA,NA,112.03,40.12
"229","2017_H_07","20/8/17",20170820,"6","4",5,1.3,1.4,1.5,NA,NA,40,48.8,14.6,9.2,38,35.8,NA,NA,NA,NA,0.6,0.6,0.6,0.2,0.6,0.5,NA,NA,NA,NA,0.6527,1.8452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.00620000000000009,0.0899,0.301,NA,NA,NA,NA,NA,NA,NA,NA,24,TRUE,29.28,8.76,1.84,22.8,17.9,NA,NA,NA,NA,104.58,31.0666666666667
"230","2017_H_07","20/8/17",20170820,"6","5",1.8,0.8,1,NA,NA,NA,27.2,15.2,36.2,38.6,NA,NA,NA,NA,NA,NA,0.4,0.5,0.5,0.5,NA,NA,NA,NA,NA,NA,0.2558,3.7978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.00390000000000001,0.0296999999999999,0.5045,NA,NA,NA,NA,NA,NA,NA,NA,10.88,TRUE,7.6,18.1,19.3,NA,NA,NA,NA,NA,NA,55.88,29.3
"231","2017_H_07","20/8/17",20170820,"7","1",5,2,2.1,NA,NA,NA,30.3,67.3,48.1,14.6,61.6,66.4,NA,NA,NA,NA,0.5,0.6,0.6,0.3,0.6,0.6,NA,NA,NA,NA,0.9142,3.06,10.2242,15,0.27,7,0.0154,3,9e-04,1,0.0393,12,"0.0748",NA,NA,18,"1 bivalve, 5 brittle stars","",0.00719999999999998,0.1593,0.5387,1.2563,NA,0.0456,0.000900000000000012,0,0.0175,0.0383,NA,15.15,TRUE,40.38,28.86,4.38,36.96,39.84,NA,NA,NA,NA,165.57,48.05
"232","2017_H_07","20/8/17",20170820,"7","2",4.5,1.5,1.1,1.1,1.1,NA,51.3,53.6,41.3,52.2,NA,NA,NA,NA,NA,NA,0.5,0.5,0.6,0.6,NA,NA,NA,NA,NA,NA,0.9672,2.4718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.00729999999999997,0.1168,0.4138,NA,NA,NA,NA,NA,NA,NA,NA,25.65,TRUE,26.8,24.78,31.32,NA,NA,NA,NA,NA,NA,108.55,49.6
"233","2017_H_07","20/8/17",20170820,"7","3",5,1.5,2.5,NA,NA,NA,52.9,51.4,47.9,10.1,14.9,NA,NA,NA,NA,NA,0.6,0.6,0.6,0.6,0.6,NA,NA,NA,NA,NA,0.6229,2.2807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.00690000000000002,0.0851000000000001,0.3697,NA,NA,NA,NA,NA,NA,NA,NA,31.74,TRUE,30.84,28.74,6.06,8.94,NA,NA,NA,NA,NA,106.32,35.44
"234","2017_H_07","20/8/17",20170820,"7","4",5,1.5,1.5,1.4,NA,NA,38.9,37.1,25.8,42.4,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.5,NA,NA,NA,NA,NA,NA,0.7,1.3686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.00529999999999997,0.1277,0.2567,NA,NA,NA,NA,NA,NA,NA,NA,19.45,TRUE,18.55,12.9,21.2,NA,NA,NA,NA,NA,NA,72.1,36.05
"235","2017_H_07","20/8/17",20170820,"7","5",5,1.3,1.8,1.8,NA,NA,52.6,53.1,44.4,61,NA,NA,NA,NA,NA,NA,0.7,0.7,0.6,0.6,NA,NA,NA,NA,NA,NA,1.1055,3.0744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.00880000000000003,0.1729,0.5492,NA,NA,NA,NA,NA,NA,NA,NA,36.82,TRUE,37.17,26.64,36.6,NA,NA,NA,NA,NA,NA,137.23,52.775
"236","2017_H_07","20/8/17",20170820,"8","1",5,1.7,0.8,0.8,0.7,0.9,43.1,58.1,52.4,NA,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,1.1529,1.4096,5.5744,6,0.0181,5,0.0152,5,0.0087,NA,NA,3,"0.0676",NA,NA,19,"2 clams","",0.00419999999999998,0.1718,0.2385,0.7538,NA,0.000899999999999901,0.000800000000000023,0,NA,0.0381,NA,21.55,TRUE,29.05,26.2,NA,NA,NA,NA,NA,NA,NA,76.8,51.2
"237","2017_H_07","20/8/17",20170820,"8","2",5,1,0.9,1,0.6,0.4,87.6,36.8,35.9,39.4,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.5,NA,NA,NA,NA,NA,NA,0.9681,1.5221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.00929999999999997,0.1516,0.2418,NA,NA,NA,NA,NA,NA,NA,NA,43.8,TRUE,18.4,17.95,19.7,NA,NA,NA,NA,NA,NA,99.85,49.925
"238","2017_H_07","20/8/17",20170820,"8","3",5,0.7,1,0.8,0.5,0.7,42.1,37.6,32.6,47.6,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.5,NA,NA,NA,NA,NA,NA,1.2969,1.4883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.00760000000000005,0.1458,0.2409,NA,NA,NA,NA,NA,NA,NA,NA,21.05,TRUE,18.8,16.3,23.8,NA,NA,NA,NA,NA,NA,79.95,39.975
